상담일자,Dnis,Channel,소재,광고비,광고횟수,I/B콜수,응대호,정기건수,정기금액,일시건수,일시금액,응대율,콜전환율,정기전환율,CPR,ROI
2026-07-08,1899-0218,EBS,식사지원 예진," 1,030,741 ", 3 , 6 , 4 , 3 ," 60,000 ", 1 ," 20,000 ",67%,200%,75%," 171,790 ",0.70
2026-07-08,1899-0219,SPOTV,식사지원 예진," 104,054 ", 2 ,,,,,,,0%,0%,0%, - ,0.00
2026-07-08,1899-0519,SPOTV2,식사지원 예진," 104,054 ", 2 ,,,,,,,0%,0%,0%, - ,0.00
2026-07-08,1899-0325,SPOTV G&H (SVC),식사지원 예진, - , 3 ,,,,,,,0%,0%,0%, - ,0.00
2026-07-08,1899-2887,JTBC4,한아이 세아ver2," 314,238 ", 10 , 2 , 2 , 1 ," 20,000 ",,,100%,20%,50%," 157,119 ",0.76
2026-07-08,1899-0263,JTBC4,이유식 안부," 314,238 ", 10 , 2 , 1 , 1 ," 20,000 ",,,50%,20%,100%," 157,119 ",0.76
2026-07-08,1899-7319,JTBC4,식사지원 준우_메인," 157,119 ", 5 ,,,,,,,0%,0%,0%, - ,0.00
2026-07-08,1899-7316,JTBC4,식사지원 준우_셰프," 157,119 ", 5 , 1 ,,,,,,0%,20%,0%," 157,119 ",0.00
2026-07-08,1899-3569,JTBC4,식사지원 준우_아동," 157,119 ", 5 , 1 ,,,,,,0%,20%,0%," 157,119 ",0.00
2026-07-08,1899-7318,JTBC4,식사지원 예진," 219,967 ", 7 ,,,,,,,0%,0%,0%, - ,0.00
2026-07-08,1899-0795,JTBC4,모잠비크 요나," 219,967 ", 7 ,,,,,,,0%,0%,0%, - ,0.00
2026-07-08,1899-7326,JTBC2 (SVC),모잠비크 요나, - , 2 ,,,,,,,0%,0%,0%, - ,0.00
2026-07-08,1899-0776,라이프타임,이유식 안부," 168,892 ", 4 , 1 , 1 , 1 ," 30,000 ",,,100%,25%,100%," 168,892 ",2.13
2026-07-08,1899-7314,히스토리 (SVC),한아이 세아ver2, - , 7 ,,,,,,,0%,0%,0%, - ,0.00
2026-07-08,1899-5186,시네마천국,한아이 세아ver2," 177,419 ", 8 , 1 , 1 , 1 ," 20,000 ",,,100%,13%,100%," 177,419 ",1.35
2026-07-08,1899-7317,빌리어즈TV,한아이 세아ver2," 283,871 ", 2 , 1 , 1 ,,,,,100%,50%,0%," 283,871 ",0.00
2026-07-08,1899-0739,채널S플러스,식사지원 예진," 392,857 ", 4 , 3 , 2 , 1 ," 20,000 ",,,67%,75%,50%," 130,952 ",0.61
2026-07-08,-,기타 TV채널,-, - , - , 2 ,,,,,,0%,0%,0%, - ,0.00
2026-07-08,2102-4590,발신,-, - , - ,,,,,,,0%,0%,0%, - ,0.00
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
