상담일자,Dnis,Channel,소재,광고비,광고횟수,I/B콜수,응대호,정기건수,정기금액,일시건수,일시금액,응대율,콜전환율,정기전환율,CPR,ROI
2026-06-11,1899-0218,EBS,뇌병변 무준이ver2," 1,453,789 ", 3 , 10 , 8 , 3 ," 70,000 ",,,80%,333%,38%," 145,379 ",0.58
2026-06-11,1899-0219,SPOTV,식사지원 사랑이," 81,915 ", 2 , 3 , 3 , 1 ," 20,000 ",,,100%,150%,33%," 27,305 ",2.93
2026-06-11,1899-0519,SPOTV2,식사지원 사랑이," 122,872 ", 3 , 1 , 1 ,,, 1 ," 20,000 ",100%,33%,0%," 122,872 ",0.00
2026-06-11,1899-0325,SPOTV G&H (SVC),식사지원 사랑이, - , 3 ,,,,,,,0%,0%,0%, - ,0.00
2026-06-11,1899-7325,JTBC4,식사지원 사랑이," 223,932 ", 8 ,,,,,,,0%,0%,0%, - ,0.00
2026-06-11,1899-2887,JTBC4,한아이 세아ver2," 223,932 ", 8 ,,,,,,,0%,0%,0%, - ,0.00
2026-06-11,1899-7315,JTBC4,뇌병변 지혜ver2," 167,949 ", 6 ,,,,,,,0%,0%,0%, - ,0.00
2026-06-11,1899-0263,JTBC4,이유식 안부," 307,907 ", 11 , 2 , 2 , 1 ," 30,000 ",,,100%,18%,50%," 153,954 ",1.17
2026-06-11,1899-7319,JTBC4,식사지원 준우_메인," 167,949 ", 6 , 1 , 1 ,,,,,100%,17%,0%," 167,949 ",0.00
2026-06-11,1899-7316,JTBC4,식사지원 준우_셰프," 167,949 ", 6 , 2 , 2 , 2 ," 60,000 ",,,100%,33%,100%," 83,975 ",4.29
2026-06-11,1899-3569,JTBC4,식사지원 준우_아동," 139,958 ", 5 ,,,,,,,0%,0%,0%, - ,0.00
2026-06-11,1899-3854,JTBC4,식사지원 준우_할머니," 139,958 ", 5 , 1 , 1 , 1 ," 30,000 ",,,100%,20%,100%," 139,958 ",2.57
2026-06-11,1899-7326,JTBC2 (SVC),뇌병변 지혜, - , 2 ,,,,,,,0%,0%,0%, - ,0.00
2026-06-11,1899-0776,라이프타임,뇌병변 무준이ver2," 318,246 ", 7 , 1 , 1 , 1 ," 20,000 ",,,100%,14%,100%," 318,246 ",0.75
2026-06-11,1899-7314,히스토리 (SVC),식사지원 사랑이, - , 8 ,,,,,,,0%,0%,0%, - ,0.00
2026-06-11,1899-5186,시네마천국,한아이 세아ver2," 183,333 ", 8 , 1 , 1 ,,, 1 ," 10,000 ",100%,13%,0%," 183,333 ",0.00
2026-06-11,1899-7317,빌리어즈TV,식사지원 사랑이," 128,333 ", 1 ,,, 1 ," 20,000 ",,,0%,0%,0%, - ,1.87
2026-06-11,-,기타 TV채널,-, - , - ,,,,,,,0%,0%,0%, - ,0.00
2026-06-11,2102-4590,발신,-, - , - , 3 , 2 ,,,,,67%,0%,0%, - ,0.00
2026-06-12,1899-0218,EBS,뇌병변 무준이ver2," 1,453,789 ", 3 , 7 , 6 , 3 ," 80,000 ", 3 ," 60,000 ",86%,233%,50%," 207,684 ",0.66
2026-06-12,1899-0219,SPOTV,식사지원 사랑이," 81,915 ", 2 , 1 , 1 , 1 ," 20,000 ",,,100%,50%,100%," 81,915 ",2.93
2026-06-12,1899-0519,SPOTV2,식사지원 사랑이," 122,872 ", 3 , 1 ,, 1 ," 20,000 ",,,0%,33%,0%," 122,872 ",1.95
2026-06-12,1899-0325,SPOTV G&H (SVC),식사지원 사랑이, - , 3 ,,,,,,,0%,0%,0%, - ,0.00
2026-06-12,1899-7325,JTBC4,식사지원 사랑이," 227,431 ", 7 ,,,,,,,0%,0%,0%, - ,0.00
2026-06-12,1899-2887,JTBC4,한아이 세아ver2," 227,431 ", 7 , 2 , 2 , 1 ," 20,000 ",,,100%,29%,50%," 113,716 ",1.06
2026-06-12,1899-7315,JTBC4,뇌병변 지혜ver2," 162,451 ", 5 ,,,,,,,0%,0%,0%, - ,0.00
2026-06-12,1899-0263,JTBC4,이유식 안부," 292,411 ", 9 ,,,,,,,0%,0%,0%, - ,0.00
2026-06-12,1899-7319,JTBC4,식사지원 준우_메인," 162,451 ", 5 , 1 , 1 ,,,,,100%,20%,0%," 162,451 ",0.00
2026-06-12,1899-7316,JTBC4,식사지원 준우_셰프," 162,451 ", 5 ,,,,,,,0%,0%,0%, - ,0.00
2026-06-12,1899-3569,JTBC4,식사지원 준우_아동," 162,451 ", 5 , 1 , 1 ,,,,,100%,20%,0%," 162,451 ",0.00
2026-06-12,1899-3854,JTBC4,식사지원 준우_할머니," 162,451 ", 5 ,,,,,,,0%,0%,0%, - ,0.00
2026-06-12,1899-7326,JTBC2 (SVC),뇌병변 지혜, - , 2 , 1 , 1 , 1 ," 20,000 ",,,100%,50%,100%, - ,0.00
2026-06-12,1899-0776,라이프타임,뇌병변 무준이ver2," 341,532 ", 7 ,,,,,,,0%,0%,0%, - ,0.00
2026-06-12,1899-7314,히스토리 (SVC),식사지원 사랑이, - , 8 , 1 , 1 , 1 ," 20,000 ",,,100%,13%,100%, - ,0.00
2026-06-12,1899-5186,시네마천국,한아이 세아ver2," 183,333 ", 8 , 2 , 1 , 1 ," 10,000 ",,,50%,25%,100%," 91,667 ",0.65
2026-06-12,1899-7317,빌리어즈TV,식사지원 사랑이," 256,667 ", 4 , 1 ,,,,,,0%,25%,0%," 256,667 ",0.00
2026-06-12,-,기타 TV채널,-, - , - ,,,,,,,0%,0%,0%, - ,0.00
2026-06-12,2102-4590,발신,-, - , - , 4 , 1 ,,,,,25%,0%,0%, - ,0.00
2026-06-13,1899-0218,EBS,뇌병변 무준이ver2," 626,248 ", 1 , 2 , 2 ,,,,,100%,200%,0%," 313,124 ",0.00
2026-06-13,1899-0219,SPOTV,식사지원 사랑이," 122,872 ", 3 ,,,,,,,0%,0%,0%, - ,0.00
