상담일자,Dnis,Channel,소재,광고비,광고횟수,I/B콜수,응대호,정기건수,정기금액,일시건수,일시금액,응대율,콜전환율,정기전환율,CPR,ROI
2026-06-16,1899-0218,EBS,뇌병변 무준이ver2," 1,028,835 ", 3 , 7 , 5 , 1 ," 20,000 ", 2 ," 40,000 ",71%,233%,20%," 146,976 ",0.23
2026-06-16,1899-0219,SPOTV,식사지원 사랑이," 81,915 ", 2 ,,,,,,,0%,0%,0%, - ,0.00
2026-06-16,1899-0519,SPOTV2,식사지원 사랑이," 122,872 ", 3 , 4 ,,,,,,0%,133%,0%," 30,718 ",0.00
2026-06-16,1899-0325,SPOTV G&H (SVC),식사지원 사랑이, - , 3 ,,,,,,,0%,0%,0%, - ,0.00
2026-06-16,1899-7325,JTBC4,식사지원 사랑이," 239,927 ", 7 , 3 , 2 , 2 ," 40,000 ",,,67%,43%,100%," 79,976 ",2.00
2026-06-16,1899-2887,JTBC4,한아이 세아ver2," 239,927 ", 7 , 3 , 2 , 3 ," 90,000 ",,,67%,43%,150%," 79,976 ",4.50
2026-06-16,1899-7315,JTBC4,뇌병변 지혜ver2," 171,377 ", 5 , 2 ,,,,,,0%,40%,0%," 85,689 ",0.00
2026-06-16,1899-0263,JTBC4,이유식 안부," 342,753 ", 10 , 4 , 4 , 4 ," 110,000 ",,,100%,40%,100%," 85,688 ",3.85
2026-06-16,1899-7319,JTBC4,식사지원 준우_메인," 171,377 ", 5 , 1 ,,,,,,0%,20%,0%," 171,377 ",0.00
2026-06-16,1899-7316,JTBC4,식사지원 준우_셰프," 171,377 ", 5 , 3 , 2 ,,,,,67%,60%,0%," 57,126 ",0.00
2026-06-16,1899-3569,JTBC4,식사지원 준우_아동," 171,377 ", 5 , 1 , 1 ,,,,,100%,20%,0%," 171,377 ",0.00
2026-06-16,1899-3854,JTBC4,식사지원 준우_할머니," 171,377 ", 5 , 1 , 1 , 1 ," 20,000 ",,,100%,20%,100%," 171,377 ",1.40
2026-06-16,1899-7326,JTBC2 (SVC),뇌병변 지혜, - , 1 , 1 , 1 ,,,,,100%,100%,0%, - ,0.00
2026-06-16,1899-0776,라이프타임,뇌병변 무준이ver2," 108,669 ", 3 ,,,,,,,0%,0%,0%, - ,0.00
2026-06-16,1899-7314,히스토리 (SVC),식사지원 사랑이, - , 8 , 1 ,,,,,,0%,13%,0%, - ,0.00
2026-06-16,1899-5186,시네마천국,한아이 세아ver2," 183,333 ", 8 ,,,,,,,0%,0%,0%, - ,0.00
2026-06-16,1899-7317,빌리어즈TV,식사지원 사랑이," 256,667 ", 4 ,,,,,,,0%,0%,0%, - ,0.00
2026-06-16,-,기타 TV채널,-, - , - , 1 ,,,, 1 ," 20,000 ",0%,0%,0%, - ,0.00
2026-06-16,2102-4590,발신,-, - , - , 1 , 1 ,,,,,100%,0%,0%, - ,0.00
